nohup: ignoring input
 Simulation of CS_0.001_fixed3, simulation tag : 19
 Note that the tag serves also as a seed
Start of the run number of samples : 300

 Advancement : 0.3 % done in 1.13s.
 Advancement : 0.7 % done in 2.07s.
 Advancement : 1.0 % done in 2.46s.
 Advancement : 1.3 % done in 2.85s.
 Advancement : 1.7 % done in 3.02s.
 Advancement : 2.0 % done in 4.09s.
 Advancement : 2.3 % done in 4.24s.
 Advancement : 2.7 % done in 4.81s.
 Advancement : 3.0 % done in 5.36s.
 Advancement : 3.3 % done in 5.80s.
 Advancement : 3.7 % done in 6.97s.
 Advancement : 4.0 % done in 8.28s.
 Advancement : 4.3 % done in 8.61s.
 Advancement : 4.7 % done in 9.04s.
 Advancement : 5.0 % done in 9.41s.
 Advancement : 5.3 % done in 10.66s.
 Advancement : 5.7 % done in 11.53s.
 Advancement : 6.0 % done in 11.88s.
 Advancement : 6.3 % done in 12.35s.
 Advancement : 6.7 % done in 13.40s.
 Advancement : 7.0 % done in 15.02s.
 Advancement : 7.3 % done in 15.65s.
 Advancement : 7.7 % done in 16.04s.
 Advancement : 8.0 % done in 17.17s.
 Advancement : 8.3 % done in 17.27s.
 Advancement : 8.7 % done in 17.40s.
 Advancement : 9.0 % done in 19.08s.
 Advancement : 9.3 % done in 19.84s.
 Advancement : 9.7 % done in 19.97s.
 Advancement : 10.0 % done in 21.03s.
 Advancement : 10.3 % done in 23.34s.
 Advancement : 10.7 % done in 26.73s.
 Advancement : 11.0 % done in 28.18s.
 Advancement : 11.3 % done in 29.03s.
 Advancement : 11.7 % done in 32.23s.
 Advancement : 12.0 % done in 32.49s.
 Advancement : 12.3 % done in 33.71s.
 Advancement : 12.7 % done in 33.84s.
 Advancement : 13.0 % done in 34.27s.
 Advancement : 13.3 % done in 34.91s.
 Advancement : 13.7 % done in 35.53s.
 Advancement : 14.0 % done in 36.44s.
 Advancement : 14.3 % done in 37.76s.
 Advancement : 14.7 % done in 38.82s.
 Advancement : 15.0 % done in 39.37s.
 Advancement : 15.3 % done in 41.42s.
 Advancement : 15.7 % done in 42.67s.
 Advancement : 16.0 % done in 43.93s.
 Advancement : 16.3 % done in 44.54s.
 Advancement : 16.7 % done in 44.86s.
 Advancement : 17.0 % done in 45.23s.
 Advancement : 17.3 % done in 45.51s.
 Advancement : 17.7 % done in 45.80s.
 Advancement : 18.0 % done in 46.78s.
 Advancement : 18.3 % done in 47.06s.
 Advancement : 18.7 % done in 47.33s.
 Advancement : 19.0 % done in 48.28s.
 Advancement : 19.3 % done in 50.12s.
 Advancement : 19.7 % done in 51.36s.
 Advancement : 20.0 % done in 52.17s.
 Advancement : 20.3 % done in 53.07s.
 Advancement : 20.7 % done in 53.26s.
 Advancement : 21.0 % done in 53.73s.
 Advancement : 21.3 % done in 55.95s.
 Advancement : 21.7 % done in 57.38s.
 Advancement : 22.0 % done in 57.61s.
 Advancement : 22.3 % done in 58.68s.
 Advancement : 22.7 % done in 59.03s.
 Advancement : 23.0 % done in 59.21s.
 Advancement : 23.3 % done in 61.01s.
 Advancement : 23.7 % done in 61.77s.
 Advancement : 24.0 % done in 63.03s.
 Advancement : 24.3 % done in 63.93s.
 Advancement : 24.7 % done in 64.06s.
 Advancement : 25.0 % done in 65.07s.
 Advancement : 25.3 % done in 65.52s.
 Advancement : 25.7 % done in 66.02s.
 Advancement : 26.0 % done in 67.00s.
 Advancement : 26.3 % done in 67.61s.
 Advancement : 26.7 % done in 69.24s.
 Advancement : 27.0 % done in 69.54s.
 Advancement : 27.3 % done in 69.99s.
 Advancement : 27.7 % done in 70.46s.
 Advancement : 28.0 % done in 71.85s.
 Advancement : 28.3 % done in 72.01s.
 Advancement : 28.7 % done in 72.56s.
 Advancement : 29.0 % done in 73.68s.
 Advancement : 29.3 % done in 74.70s.
 Advancement : 29.7 % done in 75.51s.
 Advancement : 30.0 % done in 76.39s.
 Advancement : 30.3 % done in 76.58s.
 Advancement : 30.7 % done in 77.74s.
 Advancement : 31.0 % done in 77.93s.
 Advancement : 31.3 % done in 78.76s.
 Advancement : 31.7 % done in 79.30s.
 Advancement : 32.0 % done in 81.74s.
 Advancement : 32.3 % done in 82.66s.
 Advancement : 32.7 % done in 83.20s.
 Advancement : 33.0 % done in 83.62s.
 Advancement : 33.3 % done in 88.27s.
 Advancement : 33.7 % done in 88.91s.
 Advancement : 34.0 % done in 89.13s.
 Advancement : 34.3 % done in 89.87s.
 Advancement : 34.7 % done in 90.09s.
 Advancement : 35.0 % done in 90.83s.
 Advancement : 35.3 % done in 91.13s.
 Advancement : 35.7 % done in 91.59s.
 Advancement : 36.0 % done in 91.83s.
 Advancement : 36.3 % done in 92.18s.
 Advancement : 36.7 % done in 92.23s.
 Advancement : 37.0 % done in 92.44s.
 Advancement : 37.3 % done in 92.84s.
 Advancement : 37.7 % done in 93.85s.
 Advancement : 38.0 % done in 94.59s.
 Advancement : 38.3 % done in 95.15s.
 Advancement : 38.7 % done in 96.04s.
 Advancement : 39.0 % done in 97.03s.
 Advancement : 39.3 % done in 97.18s.
 Advancement : 39.7 % done in 97.72s.
 Advancement : 40.0 % done in 98.24s.
 Advancement : 40.3 % done in 98.32s.
 Advancement : 40.7 % done in 98.59s.
 Advancement : 41.0 % done in 99.04s.
 Advancement : 41.3 % done in 99.62s.
 Advancement : 41.7 % done in 100.61s.
 Advancement : 42.0 % done in 102.25s.
 Advancement : 42.3 % done in 102.51s.
 Advancement : 42.7 % done in 103.08s.
 Advancement : 43.0 % done in 105.88s.
 Advancement : 43.3 % done in 106.05s.
 Advancement : 43.7 % done in 107.67s.
 Advancement : 44.0 % done in 108.93s.
 Advancement : 44.3 % done in 109.85s.
 Advancement : 44.7 % done in 112.30s.
 Advancement : 45.0 % done in 113.26s.
 Advancement : 45.3 % done in 113.66s.
 Advancement : 45.7 % done in 113.75s.
 Advancement : 46.0 % done in 114.41s.
 Advancement : 46.3 % done in 114.77s.
 Advancement : 46.7 % done in 115.33s.
 Advancement : 47.0 % done in 115.75s.
 Advancement : 47.3 % done in 116.50s.
 Advancement : 47.7 % done in 116.78s.
 Advancement : 48.0 % done in 116.91s.
 Advancement : 48.3 % done in 117.56s.
 Advancement : 48.7 % done in 118.67s.
 Advancement : 49.0 % done in 119.36s.
 Advancement : 49.3 % done in 120.18s.
 Advancement : 49.7 % done in 122.05s.
 Advancement : 50.0 % done in 122.76s.
 Advancement : 50.3 % done in 124.50s.
 Advancement : 50.7 % done in 124.88s.
 Advancement : 51.0 % done in 125.56s.
 Advancement : 51.3 % done in 125.84s.
 Advancement : 51.7 % done in 127.00s.
 Advancement : 52.0 % done in 130.57s.
 Advancement : 52.3 % done in 130.87s.
 Advancement : 52.7 % done in 131.08s.
 Advancement : 53.0 % done in 131.42s.
 Advancement : 53.3 % done in 131.91s.
 Advancement : 53.7 % done in 132.20s.
 Advancement : 54.0 % done in 132.49s.
 Advancement : 54.3 % done in 133.78s.
 Advancement : 54.7 % done in 134.00s.
 Advancement : 55.0 % done in 134.08s.
 Advancement : 55.3 % done in 136.09s.
 Advancement : 55.7 % done in 136.49s.
 Advancement : 56.0 % done in 137.01s.
 Advancement : 56.3 % done in 137.64s.
 Advancement : 56.7 % done in 138.28s.
 Advancement : 57.0 % done in 138.86s.
 Advancement : 57.3 % done in 139.38s.
 Advancement : 57.7 % done in 140.23s.
 Advancement : 58.0 % done in 140.89s.
 Advancement : 58.3 % done in 142.80s.
 Advancement : 58.7 % done in 144.31s.
 Advancement : 59.0 % done in 144.90s.
 Advancement : 59.3 % done in 146.45s.
 Advancement : 59.7 % done in 146.76s.
 Advancement : 60.0 % done in 146.83s.
 Advancement : 60.3 % done in 147.10s.
 Advancement : 60.7 % done in 147.89s.
 Advancement : 61.0 % done in 148.35s.
 Advancement : 61.3 % done in 148.79s.
 Advancement : 61.7 % done in 149.63s.
 Advancement : 62.0 % done in 150.20s.
 Advancement : 62.3 % done in 151.07s.
 Advancement : 62.7 % done in 151.40s.
 Advancement : 63.0 % done in 152.20s.
 Advancement : 63.3 % done in 152.72s.
 Advancement : 63.7 % done in 152.92s.
 Advancement : 64.0 % done in 154.59s.
 Advancement : 64.3 % done in 155.05s.
 Advancement : 64.7 % done in 155.68s.
 Advancement : 65.0 % done in 155.79s.
 Advancement : 65.3 % done in 157.21s.
 Advancement : 65.7 % done in 157.36s.
 Advancement : 66.0 % done in 157.93s.
 Advancement : 66.3 % done in 158.29s.
 Advancement : 66.7 % done in 158.48s.
 Advancement : 67.0 % done in 158.94s.
 Advancement : 67.3 % done in 163.67s.
 Advancement : 67.7 % done in 164.76s.
 Advancement : 68.0 % done in 165.36s.
 Advancement : 68.3 % done in 165.91s.
 Advancement : 68.7 % done in 166.01s.
 Advancement : 69.0 % done in 166.89s.
 Advancement : 69.3 % done in 167.18s.
 Advancement : 69.7 % done in 167.42s.
 Advancement : 70.0 % done in 169.37s.
 Advancement : 70.3 % done in 170.03s.
 Advancement : 70.7 % done in 171.31s.
 Advancement : 71.0 % done in 172.55s.
 Advancement : 71.3 % done in 173.51s.
 Advancement : 71.7 % done in 175.66s.
 Advancement : 72.0 % done in 175.86s.
 Advancement : 72.3 % done in 176.63s.
 Advancement : 72.7 % done in 177.29s.
 Advancement : 73.0 % done in 177.39s.
 Advancement : 73.3 % done in 178.67s.
 Advancement : 73.7 % done in 178.95s.
 Advancement : 74.0 % done in 179.20s.
 Advancement : 74.3 % done in 179.69s.
 Advancement : 74.7 % done in 180.20s.
 Advancement : 75.0 % done in 180.36s.
 Advancement : 75.3 % done in 180.57s.
 Advancement : 75.7 % done in 181.00s.
 Advancement : 76.0 % done in 181.29s.
 Advancement : 76.3 % done in 182.98s.
 Advancement : 76.7 % done in 184.38s.
 Advancement : 77.0 % done in 184.54s.
 Advancement : 77.3 % done in 185.03s.
 Advancement : 77.7 % done in 185.47s.
 Advancement : 78.0 % done in 185.68s.
 Advancement : 78.3 % done in 188.02s.
 Advancement : 78.7 % done in 188.39s.
 Advancement : 79.0 % done in 188.50s.
 Advancement : 79.3 % done in 189.00s.
 Advancement : 79.7 % done in 189.96s.
 Advancement : 80.0 % done in 190.45s.
 Advancement : 80.3 % done in 190.72s.
 Advancement : 80.7 % done in 190.97s.
 Advancement : 81.0 % done in 191.86s.
 Advancement : 81.3 % done in 193.76s.
 Advancement : 81.7 % done in 195.93s.
 Advancement : 82.0 % done in 197.36s.
 Advancement : 82.3 % done in 198.43s.
 Advancement : 82.7 % done in 199.24s.
 Advancement : 83.0 % done in 199.81s.
 Advancement : 83.3 % done in 199.93s.
 Advancement : 83.7 % done in 200.05s.
