nohup: ignoring input
 Simulation of FPR_sameD, simulation tag : 3
 Note that the tag serves also as a seed
Start of the run number of samples : 4000

 Advancement : 0.0 % done in 0.20s.
 Advancement : 0.1 % done in 2.03s.
 Advancement : 0.1 % done in 2.25s.
 Advancement : 0.1 % done in 3.09s.
 Advancement : 0.1 % done in 3.81s.
 Advancement : 0.1 % done in 4.44s.
 Advancement : 0.2 % done in 5.77s.
 Advancement : 0.2 % done in 5.87s.
 Advancement : 0.2 % done in 7.78s.
 Advancement : 0.2 % done in 8.39s.
 Advancement : 0.3 % done in 9.88s.
 Advancement : 0.3 % done in 11.04s.
 Advancement : 0.3 % done in 12.04s.
 Advancement : 0.4 % done in 13.28s.
 Advancement : 0.4 % done in 14.25s.
 Advancement : 0.4 % done in 15.29s.
 Advancement : 0.4 % done in 15.41s.
 Advancement : 0.4 % done in 16.14s.
 Advancement : 0.5 % done in 16.49s.
 Advancement : 0.5 % done in 17.43s.
 Advancement : 0.5 % done in 17.96s.
 Advancement : 0.5 % done in 20.40s.
 Advancement : 0.6 % done in 20.64s.
 Advancement : 0.6 % done in 21.56s.
 Advancement : 0.6 % done in 21.93s.
 Advancement : 0.7 % done in 22.51s.
 Advancement : 0.7 % done in 22.93s.
 Advancement : 0.7 % done in 24.49s.
 Advancement : 0.7 % done in 25.31s.
 Advancement : 0.8 % done in 25.82s.
 Advancement : 0.8 % done in 26.16s.
 Advancement : 0.8 % done in 26.99s.
 Advancement : 0.8 % done in 27.20s.
 Advancement : 0.9 % done in 27.55s.
 Advancement : 0.9 % done in 27.81s.
 Advancement : 0.9 % done in 28.20s.
 Advancement : 0.9 % done in 28.78s.
 Advancement : 0.9 % done in 29.62s.
 Advancement : 1.0 % done in 31.02s.
 Advancement : 1.0 % done in 31.68s.
 Advancement : 1.0 % done in 32.56s.
 Advancement : 1.1 % done in 32.97s.
 Advancement : 1.1 % done in 35.46s.
 Advancement : 1.1 % done in 37.10s.
 Advancement : 1.1 % done in 37.39s.
 Advancement : 1.1 % done in 38.82s.
 Advancement : 1.2 % done in 39.58s.
 Advancement : 1.2 % done in 40.36s.
 Advancement : 1.2 % done in 40.79s.
 Advancement : 1.2 % done in 41.56s.
 Advancement : 1.3 % done in 43.40s.
 Advancement : 1.3 % done in 45.53s.
 Advancement : 1.3 % done in 46.70s.
 Advancement : 1.4 % done in 46.96s.
 Advancement : 1.4 % done in 47.28s.
 Advancement : 1.4 % done in 48.67s.
 Advancement : 1.4 % done in 48.84s.
 Advancement : 1.5 % done in 49.33s.
 Advancement : 1.5 % done in 50.58s.
 Advancement : 1.5 % done in 50.97s.
 Advancement : 1.5 % done in 51.76s.
 Advancement : 1.6 % done in 52.42s.
 Advancement : 1.6 % done in 53.00s.
 Advancement : 1.6 % done in 54.68s.
 Advancement : 1.6 % done in 57.49s.
 Advancement : 1.7 % done in 59.58s.
 Advancement : 1.7 % done in 61.03s.
 Advancement : 1.7 % done in 62.89s.
 Advancement : 1.7 % done in 63.25s.
 Advancement : 1.8 % done in 63.59s.
 Advancement : 1.8 % done in 63.84s.
 Advancement : 1.8 % done in 64.08s.
 Advancement : 1.8 % done in 64.57s.
 Advancement : 1.8 % done in 65.38s.
 Advancement : 1.9 % done in 66.01s.
 Advancement : 1.9 % done in 66.25s.
 Advancement : 1.9 % done in 66.66s.
 Advancement : 1.9 % done in 66.78s.
 Advancement : 2.0 % done in 67.41s.
 Advancement : 2.0 % done in 68.56s.
 Advancement : 2.0 % done in 68.99s.
 Advancement : 2.1 % done in 69.64s.
 Advancement : 2.1 % done in 70.19s.
 Advancement : 2.1 % done in 71.07s.
 Advancement : 2.1 % done in 71.40s.
 Advancement : 2.1 % done in 71.61s.
 Advancement : 2.2 % done in 74.83s.
 Advancement : 2.2 % done in 75.29s.
 Advancement : 2.2 % done in 76.00s.
 Advancement : 2.2 % done in 76.93s.
 Advancement : 2.3 % done in 77.11s.
 Advancement : 2.3 % done in 77.73s.
 Advancement : 2.3 % done in 79.25s.
 Advancement : 2.4 % done in 79.41s.
 Advancement : 2.4 % done in 80.05s.
 Advancement : 2.4 % done in 81.44s.
 Advancement : 2.4 % done in 83.29s.
 Advancement : 2.5 % done in 83.77s.
 Advancement : 2.5 % done in 84.34s.
 Advancement : 2.5 % done in 85.05s.
 Advancement : 2.5 % done in 86.09s.
 Advancement : 2.5 % done in 87.68s.
 Advancement : 2.6 % done in 88.99s.
 Advancement : 2.6 % done in 89.36s.
 Advancement : 2.6 % done in 90.59s.
 Advancement : 2.6 % done in 92.54s.
 Advancement : 2.7 % done in 92.82s.
 Advancement : 2.7 % done in 94.64s.
 Advancement : 2.7 % done in 95.89s.
 Advancement : 2.8 % done in 96.17s.
 Advancement : 2.8 % done in 96.77s.
 Advancement : 2.8 % done in 97.69s.
 Advancement : 2.8 % done in 99.35s.
 Advancement : 2.9 % done in 100.27s.
 Advancement : 2.9 % done in 100.76s.
 Advancement : 2.9 % done in 103.23s.
 Advancement : 2.9 % done in 103.41s.
 Advancement : 2.9 % done in 103.75s.
 Advancement : 3.0 % done in 104.18s.
 Advancement : 3.0 % done in 105.24s.
 Advancement : 3.0 % done in 105.42s.
 Advancement : 3.0 % done in 105.99s.
 Advancement : 3.1 % done in 107.71s.
 Advancement : 3.1 % done in 109.02s.
 Advancement : 3.1 % done in 109.19s.
 Advancement : 3.1 % done in 109.40s.
 Advancement : 3.2 % done in 110.88s.
 Advancement : 3.2 % done in 111.29s.
 Advancement : 3.2 % done in 112.04s.
 Advancement : 3.2 % done in 112.71s.
 Advancement : 3.3 % done in 114.29s.
 Advancement : 3.3 % done in 115.90s.
 Advancement : 3.3 % done in 116.61s.
 Advancement : 3.4 % done in 117.32s.
 Advancement : 3.4 % done in 117.69s.
 Advancement : 3.4 % done in 117.80s.
 Advancement : 3.4 % done in 118.09s.
 Advancement : 3.5 % done in 118.84s.
 Advancement : 3.5 % done in 119.26s.
 Advancement : 3.5 % done in 119.58s.
 Advancement : 3.5 % done in 119.76s.
 Advancement : 3.5 % done in 120.82s.
 Advancement : 3.6 % done in 122.09s.
 Advancement : 3.6 % done in 122.28s.
 Advancement : 3.6 % done in 122.96s.
 Advancement : 3.6 % done in 123.38s.
 Advancement : 3.7 % done in 123.70s.
 Advancement : 3.7 % done in 123.90s.
 Advancement : 3.7 % done in 124.42s.
 Advancement : 3.8 % done in 125.67s.
 Advancement : 3.8 % done in 126.27s.
 Advancement : 3.8 % done in 126.77s.
 Advancement : 3.8 % done in 127.05s.
 Advancement : 3.9 % done in 127.53s.
 Advancement : 3.9 % done in 127.60s.
 Advancement : 3.9 % done in 128.07s.
 Advancement : 3.9 % done in 128.30s.
 Advancement : 4.0 % done in 128.95s.
 Advancement : 4.0 % done in 129.24s.
 Advancement : 4.0 % done in 130.16s.
 Advancement : 4.0 % done in 130.27s.
 Advancement : 4.0 % done in 130.73s.
 Advancement : 4.1 % done in 132.25s.
 Advancement : 4.1 % done in 134.23s.
 Advancement : 4.1 % done in 134.33s.
 Advancement : 4.2 % done in 136.42s.
 Advancement : 4.2 % done in 137.18s.
 Advancement : 4.2 % done in 137.83s.
 Advancement : 4.2 % done in 138.18s.
 Advancement : 4.2 % done in 139.72s.
 Advancement : 4.3 % done in 140.67s.
 Advancement : 4.3 % done in 140.85s.
 Advancement : 4.3 % done in 141.21s.
 Advancement : 4.3 % done in 141.44s.
 Advancement : 4.4 % done in 141.67s.
 Advancement : 4.4 % done in 142.70s.
 Advancement : 4.4 % done in 143.20s.
