nohup: ignoring input
 Simulation of RV_0.001_smallD, simulation tag : 4
 Note that the tag serves also as a seed
Start of the run number of samples : 5000

 Advancement : 0.0 % done in 0.26s.
 Advancement : 0.0 % done in 0.47s.
 Advancement : 0.1 % done in 0.88s.
 Advancement : 0.1 % done in 1.00s.
 Advancement : 0.1 % done in 1.23s.
 Advancement : 0.1 % done in 2.14s.
 Advancement : 0.1 % done in 2.83s.
 Advancement : 0.2 % done in 3.04s.
 Advancement : 0.2 % done in 3.46s.
 Advancement : 0.2 % done in 3.55s.
 Advancement : 0.2 % done in 4.27s.
 Advancement : 0.2 % done in 5.86s.
 Advancement : 0.3 % done in 5.89s.
 Advancement : 0.3 % done in 7.25s.
 Advancement : 0.3 % done in 8.28s.
 Advancement : 0.3 % done in 9.21s.
 Advancement : 0.3 % done in 9.48s.
 Advancement : 0.4 % done in 9.99s.
 Advancement : 0.4 % done in 11.11s.
 Advancement : 0.4 % done in 11.70s.
 Advancement : 0.4 % done in 11.81s.
 Advancement : 0.4 % done in 12.94s.
 Advancement : 0.5 % done in 13.45s.
 Advancement : 0.5 % done in 14.72s.
 Advancement : 0.5 % done in 14.86s.
 Advancement : 0.5 % done in 15.20s.
 Advancement : 0.5 % done in 15.50s.
 Advancement : 0.6 % done in 15.81s.
 Advancement : 0.6 % done in 15.98s.
 Advancement : 0.6 % done in 16.58s.
 Advancement : 0.6 % done in 17.18s.
 Advancement : 0.6 % done in 17.76s.
 Advancement : 0.7 % done in 18.01s.
 Advancement : 0.7 % done in 18.48s.
 Advancement : 0.7 % done in 18.55s.
 Advancement : 0.7 % done in 18.90s.
 Advancement : 0.7 % done in 18.97s.
 Advancement : 0.8 % done in 19.79s.
 Advancement : 0.8 % done in 20.78s.
 Advancement : 0.8 % done in 21.95s.
 Advancement : 0.8 % done in 22.39s.
 Advancement : 0.8 % done in 22.98s.
 Advancement : 0.9 % done in 23.27s.
 Advancement : 0.9 % done in 24.42s.
 Advancement : 0.9 % done in 24.80s.
 Advancement : 0.9 % done in 25.79s.
 Advancement : 0.9 % done in 26.02s.
 Advancement : 1.0 % done in 26.32s.
 Advancement : 1.0 % done in 26.50s.
 Advancement : 1.0 % done in 27.16s.
 Advancement : 1.0 % done in 27.34s.
 Advancement : 1.0 % done in 27.73s.
 Advancement : 1.1 % done in 28.29s.
 Advancement : 1.1 % done in 29.00s.
 Advancement : 1.1 % done in 29.12s.
 Advancement : 1.1 % done in 29.40s.
 Advancement : 1.1 % done in 29.66s.
 Advancement : 1.2 % done in 29.83s.
 Advancement : 1.2 % done in 29.90s.
