nohup: ignoring input
 Simulation of FPR_fixed, simulation tag : 5
 Note that the tag serves also as a seed
Start of the run number of samples : 2000

 Advancement : 0.1 % done in 5.39s.
 Advancement : 0.1 % done in 10.81s.
 Advancement : 0.1 % done in 14.93s.
 Advancement : 0.2 % done in 21.89s.
 Advancement : 0.2 % done in 27.10s.
 Advancement : 0.3 % done in 28.06s.
 Advancement : 0.4 % done in 29.73s.
 Advancement : 0.4 % done in 30.28s.
 Advancement : 0.4 % done in 33.40s.
 Advancement : 0.5 % done in 45.28s.
 Advancement : 0.5 % done in 49.04s.
 Advancement : 0.6 % done in 59.88s.
 Advancement : 0.7 % done in 62.05s.
 Advancement : 0.7 % done in 62.74s.
 Advancement : 0.8 % done in 66.40s.
 Advancement : 0.8 % done in 68.35s.
 Advancement : 0.9 % done in 72.27s.
 Advancement : 0.9 % done in 79.49s.
 Advancement : 0.9 % done in 80.74s.
 Advancement : 1.0 % done in 83.94s.
 Advancement : 1.1 % done in 87.61s.
 Advancement : 1.1 % done in 89.82s.
 Advancement : 1.1 % done in 97.27s.
 Advancement : 1.2 % done in 100.78s.
 Advancement : 1.2 % done in 101.70s.
 Advancement : 1.3 % done in 105.40s.
 Advancement : 1.4 % done in 106.98s.
 Advancement : 1.4 % done in 109.30s.
 Advancement : 1.5 % done in 112.78s.
 Advancement : 1.5 % done in 116.99s.
 Advancement : 1.6 % done in 117.63s.
 Advancement : 1.6 % done in 120.63s.
 Advancement : 1.7 % done in 122.00s.
 Advancement : 1.7 % done in 128.51s.
 Advancement : 1.8 % done in 129.40s.
 Advancement : 1.8 % done in 131.61s.
 Advancement : 1.8 % done in 136.64s.
 Advancement : 1.9 % done in 141.10s.
 Advancement : 1.9 % done in 143.39s.
 Advancement : 2.0 % done in 146.51s.
 Advancement : 2.1 % done in 152.43s.
 Advancement : 2.1 % done in 156.44s.
 Advancement : 2.1 % done in 160.26s.
 Advancement : 2.2 % done in 161.54s.
 Advancement : 2.2 % done in 166.10s.
 Advancement : 2.3 % done in 169.10s.
 Advancement : 2.4 % done in 176.11s.
 Advancement : 2.4 % done in 181.68s.
 Advancement : 2.5 % done in 183.29s.
 Advancement : 2.5 % done in 184.53s.
 Advancement : 2.5 % done in 188.06s.
 Advancement : 2.6 % done in 190.77s.
 Advancement : 2.6 % done in 199.39s.
 Advancement : 2.7 % done in 201.51s.
 Advancement : 2.8 % done in 207.93s.
 Advancement : 2.8 % done in 211.33s.
 Advancement : 2.9 % done in 213.20s.
 Advancement : 2.9 % done in 227.02s.
 Advancement : 2.9 % done in 233.40s.
 Advancement : 3.0 % done in 234.73s.
 Advancement : 3.0 % done in 241.59s.
 Advancement : 3.1 % done in 242.93s.
 Advancement : 3.1 % done in 244.49s.
 Advancement : 3.2 % done in 245.00s.
 Advancement : 3.2 % done in 246.09s.
 Advancement : 3.3 % done in 248.14s.
 Advancement : 3.4 % done in 253.87s.
 Advancement : 3.4 % done in 258.19s.
 Advancement : 3.5 % done in 262.33s.
 Advancement : 3.5 % done in 267.35s.
 Advancement : 3.5 % done in 268.37s.
 Advancement : 3.6 % done in 270.48s.
 Advancement : 3.6 % done in 271.25s.
 Advancement : 3.7 % done in 273.50s.
 Advancement : 3.8 % done in 276.66s.
 Advancement : 3.8 % done in 278.09s.
 Advancement : 3.9 % done in 282.71s.
 Advancement : 3.9 % done in 285.51s.
 Advancement : 4.0 % done in 292.98s.
 Advancement : 4.0 % done in 299.02s.
 Advancement : 4.0 % done in 303.90s.
 Advancement : 4.1 % done in 305.38s.
 Advancement : 4.2 % done in 309.83s.
 Advancement : 4.2 % done in 310.73s.
 Advancement : 4.2 % done in 315.84s.
 Advancement : 4.3 % done in 318.31s.
 Advancement : 4.3 % done in 325.29s.
 Advancement : 4.4 % done in 339.41s.
 Advancement : 4.5 % done in 340.48s.
 Advancement : 4.5 % done in 345.16s.
 Advancement : 4.5 % done in 363.34s.
 Advancement : 4.6 % done in 369.08s.
 Advancement : 4.7 % done in 378.27s.
 Advancement : 4.7 % done in 379.94s.
 Advancement : 4.8 % done in 381.39s.
 Advancement : 4.8 % done in 384.51s.
 Advancement : 4.9 % done in 385.34s.
 Advancement : 4.9 % done in 389.59s.
 Advancement : 5.0 % done in 391.99s.
 Advancement : 5.0 % done in 394.43s.
 Advancement : 5.1 % done in 407.52s.
 Advancement : 5.1 % done in 409.37s.
 Advancement : 5.1 % done in 410.29s.
 Advancement : 5.2 % done in 423.79s.
 Advancement : 5.2 % done in 430.61s.
 Advancement : 5.3 % done in 435.46s.
 Advancement : 5.3 % done in 442.62s.
 Advancement : 5.4 % done in 444.63s.
 Advancement : 5.5 % done in 445.34s.
 Advancement : 5.5 % done in 448.87s.
 Advancement : 5.5 % done in 453.79s.
 Advancement : 5.6 % done in 454.88s.
 Advancement : 5.7 % done in 456.88s.
 Advancement : 5.7 % done in 458.25s.
 Advancement : 5.8 % done in 465.02s.
 Advancement : 5.8 % done in 465.29s.
 Advancement : 5.9 % done in 465.65s.
 Advancement : 5.9 % done in 467.04s.
 Advancement : 5.9 % done in 469.67s.
 Advancement : 6.0 % done in 472.91s.
 Advancement : 6.0 % done in 474.99s.
 Advancement : 6.1 % done in 481.48s.
 Advancement : 6.2 % done in 483.36s.
 Advancement : 6.2 % done in 487.72s.
 Advancement : 6.2 % done in 489.84s.
 Advancement : 6.3 % done in 491.64s.
 Advancement : 6.3 % done in 493.90s.
 Advancement : 6.4 % done in 496.13s.
 Advancement : 6.5 % done in 498.45s.
 Advancement : 6.5 % done in 501.74s.
 Advancement : 6.6 % done in 503.86s.
 Advancement : 6.6 % done in 508.87s.
 Advancement : 6.7 % done in 511.06s.
 Advancement : 6.7 % done in 512.18s.
 Advancement : 6.8 % done in 516.24s.
 Advancement : 6.8 % done in 518.38s.
 Advancement : 6.9 % done in 521.14s.
 Advancement : 6.9 % done in 526.00s.
 Advancement : 7.0 % done in 529.51s.
 Advancement : 7.0 % done in 533.84s.
 Advancement : 7.0 % done in 541.52s.
 Advancement : 7.1 % done in 548.21s.
 Advancement : 7.1 % done in 549.40s.
 Advancement : 7.2 % done in 549.88s.
 Advancement : 7.2 % done in 551.00s.
 Advancement : 7.3 % done in 554.49s.
 Advancement : 7.3 % done in 565.85s.
 Advancement : 7.4 % done in 572.59s.
 Advancement : 7.4 % done in 578.49s.
 Advancement : 7.5 % done in 580.17s.
 Advancement : 7.5 % done in 581.99s.
 Advancement : 7.6 % done in 588.42s.
 Advancement : 7.6 % done in 589.45s.
 Advancement : 7.7 % done in 594.78s.
 Advancement : 7.8 % done in 606.40s.
 Advancement : 7.8 % done in 608.21s.
 Advancement : 7.8 % done in 611.21s.
 Advancement : 7.9 % done in 616.43s.
 Advancement : 8.0 % done in 622.32s.
 Advancement : 8.0 % done in 624.91s.
 Advancement : 8.1 % done in 626.15s.
 Advancement : 8.1 % done in 630.53s.
 Advancement : 8.2 % done in 633.43s.
 Advancement : 8.2 % done in 637.07s.
 Advancement : 8.2 % done in 639.04s.
 Advancement : 8.3 % done in 641.26s.
 Advancement : 8.3 % done in 642.74s.
 Advancement : 8.4 % done in 649.46s.
 Advancement : 8.5 % done in 650.97s.
 Advancement : 8.5 % done in 652.94s.
 Advancement : 8.6 % done in 655.21s.
 Advancement : 8.6 % done in 658.97s.
 Advancement : 8.6 % done in 663.99s.
 Advancement : 8.7 % done in 668.74s.
 Advancement : 8.8 % done in 671.28s.
 Advancement : 8.8 % done in 671.70s.
 Advancement : 8.8 % done in 673.39s.
 Advancement : 8.9 % done in 682.31s.
 Advancement : 8.9 % done in 683.72s.
 Advancement : 9.0 % done in 687.55s.
 Advancement : 9.0 % done in 693.26s.
 Advancement : 9.1 % done in 694.49s.
 Advancement : 9.2 % done in 697.18s.
 Advancement : 9.2 % done in 699.45s.
 Advancement : 9.2 % done in 707.93s.
 Advancement : 9.3 % done in 715.19s.
 Advancement : 9.3 % done in 716.52s.
 Advancement : 9.4 % done in 723.45s.
 Advancement : 9.4 % done in 728.31s.
 Advancement : 9.5 % done in 730.47s.
 Advancement : 9.6 % done in 732.75s.
 Advancement : 9.6 % done in 734.82s.
 Advancement : 9.7 % done in 736.16s.
 Advancement : 9.7 % done in 737.83s.
 Advancement : 9.8 % done in 743.57s.
 Advancement : 9.8 % done in 746.68s.
 Advancement : 9.8 % done in 747.82s.
 Advancement : 9.9 % done in 753.47s.
 Advancement : 10.0 % done in 754.95s.
 Advancement : 10.0 % done in 756.51s.
 Advancement : 10.1 % done in 757.86s.
 Advancement : 10.1 % done in 758.78s.
 Advancement : 10.2 % done in 762.23s.
 Advancement : 10.2 % done in 769.35s.
 Advancement : 10.2 % done in 770.33s.
 Advancement : 10.3 % done in 771.36s.
 Advancement : 10.3 % done in 772.80s.
 Advancement : 10.4 % done in 777.08s.
 Advancement : 10.4 % done in 781.03s.
 Advancement : 10.5 % done in 781.78s.
 Advancement : 10.5 % done in 787.24s.
 Advancement : 10.6 % done in 790.45s.
 Advancement : 10.7 % done in 791.77s.
 Advancement : 10.7 % done in 799.62s.
 Advancement : 10.8 % done in 806.08s.
 Advancement : 10.8 % done in 812.43s.
 Advancement : 10.8 % done in 816.49s.
 Advancement : 10.9 % done in 817.97s.
 Advancement : 10.9 % done in 819.72s.
 Advancement : 11.0 % done in 822.64s.
 Advancement : 11.1 % done in 825.30s.
 Advancement : 11.1 % done in 829.40s.
 Advancement : 11.2 % done in 830.95s.
 Advancement : 11.2 % done in 833.89s.
 Advancement : 11.2 % done in 836.05s.
 Advancement : 11.3 % done in 849.11s.
 Advancement : 11.3 % done in 856.56s.
 Advancement : 11.4 % done in 859.11s.
 Advancement : 11.5 % done in 864.31s.
 Advancement : 11.5 % done in 871.62s.
 Advancement : 11.6 % done in 872.70s.
 Advancement : 11.6 % done in 879.91s.
 Advancement : 11.7 % done in 880.87s.
 Advancement : 11.7 % done in 881.87s.
 Advancement : 11.8 % done in 886.46s.
 Advancement : 11.8 % done in 888.07s.
 Advancement : 11.8 % done in 890.48s.
 Advancement : 11.9 % done in 891.18s.
 Advancement : 11.9 % done in 892.41s.
 Advancement : 12.0 % done in 894.74s.
 Advancement : 12.0 % done in 897.81s.
 Advancement : 12.1 % done in 899.79s.
 Advancement : 12.2 % done in 901.85s.
 Advancement : 12.2 % done in 902.91s.
 Advancement : 12.2 % done in 907.47s.
 Advancement : 12.3 % done in 911.15s.
 Advancement : 12.3 % done in 919.63s.
 Advancement : 12.4 % done in 929.99s.
 Advancement : 12.4 % done in 937.46s.
 Advancement : 12.5 % done in 940.44s.
 Advancement : 12.6 % done in 941.69s.
 Advancement : 12.6 % done in 947.00s.
 Advancement : 12.7 % done in 950.27s.
 Advancement : 12.7 % done in 957.78s.
 Advancement : 12.8 % done in 964.89s.
 Advancement : 12.8 % done in 972.19s.
 Advancement : 12.8 % done in 976.15s.
 Advancement : 12.9 % done in 977.87s.
 Advancement : 13.0 % done in 984.70s.
 Advancement : 13.0 % done in 985.31s.
 Advancement : 13.1 % done in 986.34s.
 Advancement : 13.1 % done in 989.10s.
 Advancement : 13.2 % done in 991.12s.
 Advancement : 13.2 % done in 992.50s.
 Advancement : 13.2 % done in 993.49s.
 Advancement : 13.3 % done in 996.21s.
 Advancement : 13.4 % done in 1000.35s.
 Advancement : 13.4 % done in 1001.35s.
 Advancement : 13.5 % done in 1005.85s.
 Advancement : 13.5 % done in 1007.65s.
 Advancement : 13.6 % done in 1008.38s.
 Advancement : 13.6 % done in 1011.28s.
 Advancement : 13.7 % done in 1013.43s.
 Advancement : 13.7 % done in 1016.26s.
 Advancement : 13.8 % done in 1018.84s.
 Advancement : 13.8 % done in 1019.87s.
 Advancement : 13.9 % done in 1024.45s.
 Advancement : 13.9 % done in 1027.23s.
 Advancement : 14.0 % done in 1029.56s.
